NAME,SPP,ROUND,DURATION
Blue,form,1,144
Blue,form,2,18
Cloud,form,1,64
Cloud,form,2,76
Daffodil,form,1,NA
Daffodil,form,2,33
Jasmine,form,1,64
Jasmine,form,2,NA
Karen,form,1,510
Karen,form,2,25
Killua,form,1,37
Killua,form,2,448
Lemon,form,1,68
Lemon,form,2,191
Moon,form,1,22
Moon,form,2,49
Peach,form,1,75
Peach,form,2,27
Purple,form,1,600
Purple,form,2,24
Star,form,1,25
Star,form,2,75
Torchy,form,1,63
Torchy,form,2,101
Waffles,form,1,18
Waffles,form,2,30
Daisy,form,1,88
Daisy,form,2,16
Phoebe,form,1,154
Phoebe,form,2,87
Robert,form,1,300
Robert,form,2,369
Peppermint,form,1,600
Peppermint,form,2,600
Kiwi,form,1,53
Kiwi,form,2,60
Mango,form,1,435
Mango,form,2,60
Sunshine,form,1,600
Sunshine,form,2,600
Appa,lat,1,29
Appa,lat,2,NA
Carrot,lat,1,153
Carrot,lat,2,NA
Edward,lat,1,NA
Edward,lat,2,49
Happy,lat,1,430
Happy,lat,2,NA
Lora,lat,1,7
Lora,lat,2,9
Momo,lat,1,28
Momo,lat,2,NA
Pancake,lat,1,220
Pancake,lat,2,432
Gauss,lat,1,354
Gauss,lat,2,84
Apple,lat,1,600
Apple,lat,2,600
Tyrone,lat,1,211
Tyrone,lat,2,NA
Flash,lat,1,600
Flash,lat,2,600
Orange,lat,1,411
Orange,lat,2,600
Grape,lat,1,367
Grape,lat,2,28
Pear,lat,1,600
Pear,lat,2,128
Robin,lat,1,296
Robin,lat,2,31
Squash,lat,1,600
Squash,lat,2,600
Muji,lat,1,172
Muji,lat,2,179
Pilar,lat,1,531
Pilar,lat,2,NA
Ohm,lat,1,600
Ohm,lat,2,600
Cabbage,lat,1,540
Cabbage,lat,2,413
Digit,lat,1,69
Digit,lat,2,16
Chef,lat,1,350
Chef,lat,2,347
Jordan,lat,1,600
Jordan,lat,2,NA
