NAME,SPP,BLD1,BLD2,NEO,CAST,NEU,SAFE
Blue,form,144,18,,,,
Cloud,form,64,76,,,,
Daffodil,form,NA,33,,,,
Jasmine,form,64,NA,,,,
Karen,form,510,25,,,,
Killua,form,37,448,,,,
Lemon,form,68,191,,,,
Moon,form,22,49,,,,
Peach,form,75,27,,,,
Purple,form,600,24,,,,
Star,form,25,75,,,,
Torchy,form,63,101,,,,
Waffles,form,18,30,,,,
Daisy,form,88,16,,,,
Phoebe,form,154,87,,,,
Robert,form,300,369,,,,
Peppermint,form,600,600,,,,
Kiwi,form,53,60,,,,
Mango,form,435,60,,,,
Sunshine,form,600,600,,,,
Appa,lat,29,NA,,,,
Carrot,lat,153,NA,,,,
Edward,lat,NA,49,,,,
Happy,lat,430,NA,,,,
Lora,lat,7,9,,,,
Momo,lat,28,NA,,,,
Pancake,lat,220,432,,,,
Gauss,lat,354,84,,,,
Apple,lat,600,600,,,,
Tyrone,lat,211,NA,,,,
Flash,lat,600,600,,,,
Orange,lat,411,600,,,,
Grape,lat,367,28,,,,
Pear,lat,600,128,,,,
Robin,lat,296,31,,,,
Squash,lat,600,600,,,,
Muji,lat,172,179,,,,
Pilar,lat,531,NA,,,,
Ohm,lat,600,600,,,,
Cabbage,lat,540,413,,,,
Digit,lat,69,16,,,,
Chef,lat,350,347,,,,
Jordan,lat,600,NA,,,,
