Name,Spp,Start,End,Total
Peach,form,21,488,467
moon,form,28,60,32
cloud,form,25,245,220
killua,form,23,NA,NA
torchy,form,26,192,166
waffles,form,28,262,234
pancake,lat,18,264,246
edward,lat,25,450,425
blue,form,20,99,79
pilar,lat,31,487,456
star,form,18,NA,NA
lemon,form,21,160,139
muji,lat,23,NA,NA
pablo,lat,21,237,216
daffodil,form,21,NA,NA
chef,lat,17,219,202
ohm,lat,18,NA,NA
zoro,lat,34,193,159
peppermint,form,31,298,267
digit,lat,20,224,204
mitski,lat,12,218,206
nero,lat,15,193,178
cabbage,lat,21,NA,NA
grape,lat,7,NA,NA
orange,lat,1,136,135
apple,lat,5,NA,NA
gauss,lat,3,143,140
flash,lat,1,425,424
tyronne,lat,2,310,308
carrot,lat,11,279,268
momo,lat,7,234,227
robert,form,5,359,354
evee,form,3,456,453
phoebe,form,4,NA,NA
karen,form,7,11,4
happy,lat,1,NA,NA
appa,lat,1,NA,NA
lora,lat,0,158,158
jordan,lat,8,517,509
daisy,form,2,59,57
jasmine,form,3,NA,NA
squash,lat,8,NA,NA
pear,lat,10,486,476
kiwi,form,4,9,5
sunshine,form,4,NA,NA
purple,form,7,335,328
mango,form,10,367,357
