NAME,SPP,TOP/BOT,FAM/UNF,1,2,3,4,5,6,7,8,9,10
Rose,lat,BOT,fam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,form,TOP,fam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregano,form,BOT,fam,43,28,23,22,33,31,7,18,20,76
Cinnamon,form,TOP,fam,78,27,19,18,28,19,23,17,12,49
Ashley,form,TOP,fam,25,19,11,13,15,22,16,25,32,123
Ava,form,BOT,fam,23,23,9,20,15,19,21,34,25,112
Emmy,form,TOP,fam,30,20,30,18,12,28,26,15,33,88
Dory,form,BOT,fam,29,25,26,20,20,20,29,26,20,88
Sadie,lat,BOT,fam,0,8,7,4,27,24,34,49,44,101
Piper,lat,TOP,fam,5,4,7,7,19,26,32,38,52,110
Beijing,lat,* - using TOP data,unf,45,26,31,39,33,30,27,20,31,18
Paris,lat,* - using BOTTOM data,unf,30,24,29,35,34,43,17,20,4,7
Evangeline,lat,BOT,unf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elena,lat,TOP,unf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gretchen ,form,TOP,fam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Layla,form,BOT,fam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rumi,lat,BOT,unf,11,9,18,21,29,21,28,43,34,87
Brielle,lat,TOP,unf,11,9,15,21,26,18,40,46,29,86
Cypress,lat,TOP,unf,14,10,24,21,46,30,30,42,24,26
Willow,lat,BOT,unf,10,11,26,18,35,32,38,42,43,46
Lily,form,BOT,fam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosy,form,TOP,fam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amy,form,BOT,fam,36,30,18,49,55,22,27,32,12,20
Harvy,lat,TOP,fam,21,35,23,24,51,31,30,16,34,36
Kendra,form,BOT,fam,0,11,29,54,70,76,50,11,0,0
Kona,form,TOP,fam,33,66,57,55,56,23,8,3,0,0
Muses,form,BOT,fam,40,40,29,31,48,22,27,24,12,28
Nyx,form,TOP,fam,42,18,22,34,36,28,37,20,23,40
Freya,form,,fam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayenne,form,,fam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
